"History for account SchwabOne XXXX-1865 as of 10/05/2008 02:09:02 EDT for 01/01/2007 to 12/31/2007"
"Date","Action","Quantity","Symbol","Description","Price","Amount","Fees & Comm"
"07/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.0000",""
"07/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-26.9200",""
"07/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-202.0000",""
"07/06/2007","Buy","16.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-16.0000",""
"07/05/2007","","","HPQ","HEWLETT-PACKARD COMPANY type: QUALIFIED DIV","","$16.0000",""
"07/05/2007","Buy","15,039.7600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-15,039.7600",""
"07/03/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,050.0000",""
"07/03/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-135.2400",""
"07/03/2007","Sell","413.4500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$413.4500",""
"07/03/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$16,225.0000",""
"07/02/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-318.9600",""
"07/02/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-94.4900",""
"07/02/2007","Sell","1,671.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,671.0000",""
"06/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-21.0000",""
"06/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"06/28/2007","","","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND type: CASH DIVIDEND","","$16.9400",""
"06/28/2007","Buy","0.4730","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND type: REINVEST DIVIDEND","$35.8400","$-16.9400",""
"06/26/2007","Sell","380.6200","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$380.6200",""
"06/25/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-53.6300",""
"06/25/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-326.9900",""
"06/25/2007","Sell","3,085.7500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$3,085.7500",""
"06/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-3,085.7500",""
"06/20/2007","Sell","10,000.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$10,000.0000",""
"06/19/2007","",""," ","IRS        51311865 type: SCHWAB CHECK","","$-10,000.0000",""
"06/18/2007","","202.5800","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"06/18/2007","Sell","10.9800","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$10.9800",""
"06/15/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.9800",""
"06/14/2007","Sell","1,828.0100","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,828.0100",""
"06/13/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-1,828.0100",""
"06/13/2007","Sell","59.8300","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$59.8300",""
"06/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-59.8300",""
"06/12/2007","Buy","2,545.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-2,545.0000",""
"06/11/2007","",""," ","FUNDS RECEIVED type: DEPOSIT","","$2,545.0000",""
"06/11/2007","Sell","1,062.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,062.5000",""
"06/08/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"06/06/2007","Sell","131.7000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$131.7000",""
"06/05/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-121.7000",""
"06/05/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.0000",""
"06/04/2007","Sell","1,673.7900","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,673.7900",""
"06/01/2007","","","INTC","INTEL CORP type: QUALIFIED DIV","","$22.5000",""
"06/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-50.2900",""
"06/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,646.0000",""
"05/31/2007","Sell","101.8200","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$101.8200",""
"05/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-101.8200",""
"05/30/2007","Buy","24,200.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-24,200.0000",""
"05/29/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$24,200.0000",""
"05/29/2007","Sell","149.5400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$149.5400",""
"05/25/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-149.5400",""
"05/24/2007","Sell","1,350.6300","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,350.6300",""
"05/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-4.8400",""
"05/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-6.8800",""
"05/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,338.9100",""
"05/23/2007","Sell","72.7600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$72.7600",""
"05/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-69.4100",""
"05/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-3.3500",""
"05/22/2007","Buy","15,553.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-15,553.5000",""
"05/21/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$15,895.0000",""
"05/21/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-341.5000",""
"05/21/2007","Sell","34.1500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$34.1500",""
"05/18/2007","",""," ","RETURNED CHECK FEE type: SERVICE FEE","","$-25.0000",""
"05/18/2007","",""," ","MMPDIV 051107-051707 type: ADJUST DIVIDEND","","$-2.2200",""
"05/18/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-6.9300",""
"05/18/2007","Sell","2,475.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2,475.0000",""
"05/17/2007","",""," ","RETURNED CHECK NSF type: RETURNED DEPOSIT","","$-2,500.0000",""
"05/17/2007","",""," ","REV INSUFF FUNDS FEE type: SERVICE FEE ADJ","","$25.0000",""
"05/17/2007","Sell","25.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$25.0000",""
"05/16/2007","",""," ","RETURNED CHECK FEE type: SERVICE FEE","","$-25.0000",""
"05/16/2007","","64.1100","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"05/16/2007","Sell","1.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1.0000",""
"05/15/2007","",""," ","RETURNED CHECK NSF type: RETURNED DEPOSIT","","$-1.0000",""
"05/15/2007","Buy","19,536.6500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-19,536.6500",""
"05/14/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-2,078.3500",""
"05/14/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$21,615.0000",""
"05/14/2007","Sell","152.3800","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$152.3800",""
"05/11/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-90.0000",""
"05/11/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-62.3800",""
"05/11/2007","Buy","1,437.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-1,437.5000",""
"05/10/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$2,500.0000",""
"05/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"05/10/2007","Buy","6,749.6400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-6,749.6400",""
"05/09/2007","Buy","1.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-1.0000",""
"05/08/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$1.0000",""
"05/08/2007","Sell","10,289.6100","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$10,289.6100",""
"05/07/2007","Buy","165.6730","SSAIX","SSGA INTL STOCK         SELECTION FUND","$15.0900","$-2,500.0000",""
"05/07/2007","Buy","141.1630","MPYMX","METZLER/PAYDEN EUROPEAN  EMERGING MARKETS FUND","$35.4200","$-5,000.0000",""
"05/07/2007","Buy","50.7200","EUROX","U.S. GLOBAL INVESTORS   EASTERN EUROPEAN FUND","$49.2900","$-2,500.0000",""
"05/07/2007","Sell","100.0000","MOT","MOTOROLA INC","$18.0500","$1,792.0200","$12.98"
"05/07/2007","Sell","200.0000","INTC","INTEL CORP","$21.9100","$4,368.9800","$13.02"
"05/07/2007","Sell","20.0000","YHOO","YAHOO INC","$30.0800","$588.6400","$12.96"
"05/07/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-187.1100",""
"05/07/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-102.5000",""
"05/02/2007","Sell","1,650.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,650.0000",""
"05/01/2007","Sell","18.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$18.5000",""
"05/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"04/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-18.5000",""
"04/24/2007","Sell","6,016.1700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$6,016.1700",""
"04/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-6,016.1700",""
"04/23/2007","Sell","15,000.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$15,000.0000",""
"04/20/2007","",""," ","IRS        51311865 type: SCHWAB CHECK","","$-5,000.0000",""
"04/20/2007","",""," ","IRS        51311865 type: SCHWAB CHECK","","$-10,000.0000",""
"04/17/2007","","54.7600","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"04/16/2007","Buy","5.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-5.0000",""
"04/13/2007","","","MOT","MOTOROLA INC type: QUALIFIED DIV","","$5.0000",""
"04/13/2007","Buy","27,728.4000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-27,728.4000",""
"04/12/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-782.6000",""
"04/12/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$50.0000",""
"04/12/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$16,483.0000",""
"04/12/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$11,978.0000",""
"04/12/2007","Sell","80.9700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$80.9700",""
"04/11/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-57.9900",""
"04/11/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-22.9800",""
"04/11/2007","Sell","1,092.4200","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,092.4200",""
"04/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-29.9200",""
"04/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"04/10/2007","Sell","587.3700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$587.3700",""
"04/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-249.3700",""
"04/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-338.0000",""
"04/09/2007","Sell","32.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$32.0000",""
"04/05/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-32.0000",""
"04/05/2007","Buy","16.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-16.0000",""
"04/04/2007","","","HPQ","HEWLETT-PACKARD COMPANY type: QUALIFIED DIV","","$16.0000",""
"04/02/2007","Sell","1,650.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,650.0000",""
"03/30/2007","Sell","10.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$10.0000",""
"03/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"03/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.0000",""
"03/28/2007","Sell","11.9500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$11.9500",""
"03/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.9500",""
"03/26/2007","Sell","771.6300","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$771.6300",""
"03/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-771.6300",""
"03/21/2007","Sell","11.9500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$11.9500",""
"03/20/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.9500",""
"03/16/2007","","60.2400","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"03/16/2007","Sell","2,533.2200","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2,533.2200",""
"03/15/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-2,533.2200",""
"03/15/2007","Sell","69.0800","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$69.0800",""
"03/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-69.0800",""
"03/13/2007","Sell","2.7000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2.7000",""
"03/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-2.7000",""
"03/12/2007","Sell","1,062.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,062.5000",""
"03/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"03/08/2007","Sell","246.4100","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$246.4100",""
"03/07/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-246.4100",""
"03/07/2007","Sell","36.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$36.0000",""
"03/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-36.0000",""
"03/02/2007","Sell","1,627.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,627.5000",""
"03/01/2007","","","INTC","INTEL CORP type: QUALIFIED DIV","","$22.5000",""
"03/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"02/27/2007","Sell","2.7000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2.7000",""
"02/26/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-2.7000",""
"02/26/2007","Sell","2,169.6500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2,169.6500",""
"02/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"02/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"02/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-2,119.6500",""
"02/22/2007","Sell","17.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$17.5000",""
"02/21/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-17.5000",""
"02/21/2007","Sell","83.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$83.0000",""
"02/20/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"02/20/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"02/20/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-33.0000",""
"02/16/2007","","88.1500","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"02/15/2007","Sell","296.9500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$296.9500",""
"02/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-210.0000",""
"02/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-75.0000",""
"02/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.9500",""
"02/14/2007","Sell","3,173.8700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$3,173.8700",""
"02/13/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-3,095.4100",""
"02/13/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-78.4600",""
"02/13/2007","Sell","19.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$19.5000",""
"02/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-19.5000",""
"02/12/2007","Sell","1,062.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,062.5000",""
"02/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"02/08/2007","Sell","2.6600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2.6600",""
"02/07/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-2.6600",""
"02/07/2007","Sell","418.9700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$418.9700",""
"02/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"02/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"02/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-45.0000",""
"02/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-323.9700",""
"02/06/2007","Buy","14,863.9600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-14,863.9600",""
"02/05/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-29.0400",""
"02/05/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$14,893.0000",""
"02/02/2007","Sell","1,650.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,650.0000",""
"02/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"01/31/2007","Sell","17,025.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$17,025.0000",""
"01/30/2007","",""," ","WIRED FUNDS DISBURSED type: WIRED FUNDS OUT","","$-17,000.0000",""
"01/30/2007","",""," ","WIRED FUNDS FEE type: SERVICE FEE","","$-25.0000",""
"01/30/2007","Sell","77.6500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$77.6500",""
"01/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"01/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"01/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"01/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-2.6500",""
"01/26/2007","Sell","5.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$5.5000",""
"01/25/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-5.5000",""
"01/24/2007","Sell","1,245.2000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,245.2000",""
"01/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,245.2000",""
"01/22/2007","Sell","64.0700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$64.0700",""
"01/19/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-64.0700",""
"01/17/2007","","44.9100","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"01/17/2007","Sell","295.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$295.0000",""
"01/16/2007","","","MOT","MOTOROLA INC type: QUALIFIED DIV","","$5.0000",""
"01/16/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-300.0000",""
"01/16/2007","Sell","3,393.9700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$3,393.9700",""
"01/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"01/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"01/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"01/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-25.0000",""
"01/12/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-3,293.9700",""
"01/11/2007","Buy","18,653.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-18,653.5000",""
"01/10/2007","",""," ","FUNDS RECEIVED type: DEPOSIT","","$19,716.0000",""
"01/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"01/09/2007","Sell","771.2100","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$771.2100",""
"01/08/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-400.0000",""
"01/08/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-147.0000",""
"01/08/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-224.2100",""
"01/08/2007","Sell","10.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$10.0000",""
"01/05/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.0000",""
"01/04/2007","Sell","1,651.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,651.5000",""
"01/03/2007","","","HPQ","HEWLETT-PACKARD COMPANY type: QUALIFIED DIV","","$16.0000",""
"01/03/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"01/03/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-17.5000",""
"01/03/2007","Sell","52.9800","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$52.9800",""
"01/02/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-52.9800",""
"01/02/2007","Sell","100.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$100.0000",""
