"History for account SchwabOne XXXX-1865 as of 10/05/2008 02:09:02 EDT for 01/01/2007 to 12/31/2007"
"Date","Action","Quantity","Symbol","Description","Price","Amount","Fees & Comm"
"11/28/2007","Sell","40.4100","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$40.4100",""
"11/27/2007","Sell","46.0300","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$46.0300",""
"11/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-40.4100",""
"11/26/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-46.0300",""
"11/26/2007","Sell","1,877.6100","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,877.6100",""
"11/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,877.6100",""
"11/21/2007","Buy","13,035.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-13,035.0000",""
"11/20/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-165.0000",""
"11/20/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$13,200.0000",""
"11/20/2007","Buy","8,803.9400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-8,803.9400",""
"11/19/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$18,991.2600",""
"11/16/2007","","","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV - CASH","","$0.1400",""
"11/16/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-690.4000",""
"11/14/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-460.0100",""
"11/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-121.2600",""
"11/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-207.0600",""
"11/12/2007","","100.0000","JAVAD","SUN MICROSYSTEMS INC NEW type: REVERSE SPLIT","","",""
"11/12/2007","","-400.0000"," ","SUN MICROSYSTEMS INC XXX1 FOR 4 REVERSE SPLIT type: REVERSE SPLIT","","",""
"11/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-232.0000",""
